user_id,session_date,device,traffic_source,location,visited,signed_up,viewed_product,added_to_cart,started_checkout,purchased,order_value,session_duration_min
U00001,2026-02-18,Mobile,Email,Delhi,1,1,1,1,1,1,1198.06,5.4
U00002,2026-01-28,Tablet,Organic Search,Chennai,1,1,1,1,0,0,0,11.1
U00003,2026-02-02,Desktop,Organic Search,Hyderabad,1,0,0,0,0,0,0,8.4
U00004,2026-02-16,Mobile,Referral,Other,1,0,0,0,0,0,0,5.9
U00005,2026-01-13,Mobile,Social Media,Other,1,1,1,0,0,0,0,19
U00006,2026-02-13,Mobile,Direct,Chennai,1,0,0,0,0,0,0,18.6
U00007,2026-01-27,Mobile,Paid Search,Mumbai,1,1,1,0,0,0,0,18.7
U00008,2026-03-16,Desktop,Direct,Chennai,1,1,1,0,0,0,0,2.6
U00009,2026-03-15,Mobile,Paid Search,Bengaluru,1,0,0,0,0,0,0,8.7
U00010,2026-01-29,Desktop,Direct,Hyderabad,1,0,0,0,0,0,0,2
U00011,2026-03-19,Mobile,Direct,Chennai,1,0,0,0,0,0,0,2.4
U00012,2026-03-26,Tablet,Paid Search,Pune,1,1,0,0,0,0,0,13
U00013,2026-02-09,Desktop,Direct,Hyderabad,1,0,0,0,0,0,0,4.8
U00014,2026-03-30,Mobile,Referral,Mumbai,1,1,1,0,0,0,0,0.8
U00015,2026-01-07,Mobile,Organic Search,Pune,1,1,1,0,0,0,0,3
U00016,2026-03-20,Mobile,Social Media,Bengaluru,1,0,0,0,0,0,0,5.3
U00017,2026-03-13,Mobile,Organic Search,Hyderabad,1,1,1,1,0,0,0,3.5
U00018,2026-03-27,Mobile,Referral,Delhi,1,1,1,0,0,0,0,7.3
U00019,2026-03-18,Mobile,Organic Search,Bengaluru,1,1,1,0,0,0,0,7.7
U00020,2026-02-08,Mobile,Organic Search,Hyderabad,1,0,0,0,0,0,0,6.7
U00021,2026-01-25,Mobile,Paid Search,Bengaluru,1,0,0,0,0,0,0,7.9
U00022,2026-01-28,Mobile,Social Media,Chennai,1,0,0,0,0,0,0,6.8
U00023,2026-02-20,Mobile,Direct,Pune,1,0,0,0,0,0,0,6.1
U00024,2026-03-21,Mobile,Direct,Mumbai,1,0,0,0,0,0,0,1.7
U00025,2026-03-12,Mobile,Paid Search,Chennai,1,1,1,0,0,0,0,4
U00026,2026-02-18,Desktop,Organic Search,Mumbai,1,0,0,0,0,0,0,8.8
U00027,2026-02-26,Mobile,Email,Other,1,1,1,1,1,1,5449.76,14.5
U00028,2026-03-11,Mobile,Social Media,Hyderabad,1,1,1,0,0,0,0,13.7
U00029,2026-01-15,Mobile,Paid Search,Bengaluru,1,0,0,0,0,0,0,4.5
U00030,2026-01-02,Mobile,Paid Search,Other,1,0,0,0,0,0,0,6.5
U00031,2026-01-12,Mobile,Social Media,Other,1,1,1,0,0,0,0,21.6
U00032,2026-03-19,Mobile,Paid Search,Hyderabad,1,1,1,0,0,0,0,1.6
U00033,2026-02-22,Mobile,Referral,Hyderabad,1,0,0,0,0,0,0,2.8
U00034,2026-03-01,Tablet,Social Media,Chennai,1,1,0,0,0,0,0,5.9
U00035,2026-03-07,Tablet,Direct,Hyderabad,1,0,0,0,0,0,0,6.9
U00036,2026-02-12,Desktop,Social Media,Mumbai,1,1,0,0,0,0,0,5
U00037,2026-02-03,Mobile,Organic Search,Hyderabad,1,0,0,0,0,0,0,4.8
U00038,2026-01-28,Mobile,Direct,Hyderabad,1,0,0,0,0,0,0,29
U00039,2026-01-05,Desktop,Social Media,Chennai,1,0,0,0,0,0,0,2.4
U00040,2026-02-04,Mobile,Organic Search,Other,1,1,0,0,0,0,0,4
U00041,2026-01-16,Mobile,Social Media,Chennai,1,1,1,0,0,0,0,9.7
U00042,2026-02-07,Mobile,Paid Search,Bengaluru,1,0,0,0,0,0,0,1.6
U00043,2026-02-15,Mobile,Referral,Other,1,0,0,0,0,0,0,3.5
U00044,2026-02-13,Desktop,Social Media,Mumbai,1,0,0,0,0,0,0,4.9
U00045,2026-02-13,Mobile,Email,Bengaluru,1,0,0,0,0,0,0,8.4
U00046,2026-01-05,Desktop,Organic Search,Chennai,1,1,1,0,0,0,0,5.7
U00047,2026-02-15,Mobile,Paid Search,Hyderabad,1,0,0,0,0,0,0,5.8
U00048,2026-02-15,Mobile,Direct,Mumbai,1,0,0,0,0,0,0,4.7
U00049,2026-03-18,Mobile,Referral,Chennai,1,0,0,0,0,0,0,6.8
U00050,2026-03-06,Mobile,Organic Search,Bengaluru,1,1,1,0,0,0,0,1.1
U00051,2026-01-29,Tablet,Paid Search,Hyderabad,1,1,1,0,0,0,0,21.7
U00052,2026-01-02,Desktop,Paid Search,Bengaluru,1,1,1,0,0,0,0,4
U00053,2026-03-04,Tablet,Email,Chennai,1,1,1,0,0,0,0,7.5
U00054,2026-03-22,Desktop,Referral,Hyderabad,1,0,0,0,0,0,0,3.6
U00055,2026-02-05,Mobile,Email,Hyderabad,1,0,0,0,0,0,0,9.8
U00056,2026-02-07,Tablet,Social Media,Other,1,1,1,0,0,0,0,7
U00057,2026-03-29,Mobile,Referral,Mumbai,1,1,1,1,0,0,0,9.5
U00058,2026-01-18,Mobile,Paid Search,Hyderabad,1,0,0,0,0,0,0,23.4
U00059,2026-01-08,Mobile,Organic Search,Delhi,1,0,0,0,0,0,0,8.9
U00060,2026-01-28,Mobile,Social Media,Hyderabad,1,1,1,1,0,0,0,6.1
U00061,2026-01-04,Mobile,Direct,Delhi,1,1,0,0,0,0,0,12.5
U00062,2026-02-07,Mobile,Referral,Delhi,1,1,1,0,0,0,0,17.2
U00063,2026-03-23,Desktop,Social Media,Mumbai,1,1,1,0,0,0,0,12.6
U00064,2026-03-05,Mobile,Email,Delhi,1,0,0,0,0,0,0,10
U00065,2026-03-13,Mobile,Direct,Hyderabad,1,0,0,0,0,0,0,6
U00066,2026-02-27,Mobile,Paid Search,Delhi,1,1,1,0,0,0,0,7.7
U00067,2026-03-04,Mobile,Paid Search,Hyderabad,1,0,0,0,0,0,0,7.7
U00068,2026-01-20,Desktop,Direct,Bengaluru,1,0,0,0,0,0,0,4.6
U00069,2026-03-01,Mobile,Direct,Other,1,1,1,0,0,0,0,4.4
U00070,2026-02-04,Tablet,Paid Search,Chennai,1,0,0,0,0,0,0,3.2
U00071,2026-03-22,Desktop,Social Media,Other,1,1,1,0,0,0,0,8.8
U00072,2026-02-06,Mobile,Paid Search,Hyderabad,1,0,0,0,0,0,0,2.8
U00073,2026-03-16,Mobile,Organic Search,Chennai,1,1,0,0,0,0,0,2.5
U00074,2026-03-04,Desktop,Direct,Hyderabad,1,1,1,0,0,0,0,5.8
U00075,2026-02-04,Desktop,Paid Search,Mumbai,1,0,0,0,0,0,0,11.5
U00076,2026-02-21,Desktop,Direct,Hyderabad,1,0,0,0,0,0,0,1
U00077,2026-01-18,Desktop,Organic Search,Hyderabad,1,0,0,0,0,0,0,4.8
U00078,2026-02-26,Mobile,Social Media,Bengaluru,1,0,0,0,0,0,0,8.6
U00079,2026-01-20,Mobile,Organic Search,Delhi,1,0,0,0,0,0,0,6.4
U00080,2026-02-28,Mobile,Referral,Hyderabad,1,0,0,0,0,0,0,5.9
U00081,2026-03-09,Desktop,Social Media,Pune,1,1,1,0,0,0,0,7.2
U00082,2026-01-26,Desktop,Social Media,Hyderabad,1,1,1,0,0,0,0,5.8
U00083,2026-01-13,Mobile,Organic Search,Hyderabad,1,0,0,0,0,0,0,16.4
U00084,2026-01-21,Mobile,Organic Search,Chennai,1,0,0,0,0,0,0,10.1
U00085,2026-03-29,Mobile,Organic Search,Other,1,0,0,0,0,0,0,2.7
U00086,2026-02-24,Mobile,Paid Search,Hyderabad,1,1,1,0,0,0,0,2.5
U00087,2026-02-11,Desktop,Social Media,Hyderabad,1,0,0,0,0,0,0,6.6
U00088,2026-03-24,Desktop,Social Media,Delhi,1,0,0,0,0,0,0,3.4
U00089,2026-01-23,Desktop,Social Media,Bengaluru,1,0,0,0,0,0,0,20.7
U00090,2026-03-11,Mobile,Social Media,Delhi,1,1,1,1,0,0,0,9.9
U00091,2026-02-13,Mobile,Paid Search,Bengaluru,1,1,1,0,0,0,0,1.9
U00092,2026-01-26,Desktop,Organic Search,Chennai,1,1,0,0,0,0,0,7.4
U00093,2026-03-06,Desktop,Organic Search,Bengaluru,1,0,0,0,0,0,0,6.3
U00094,2026-03-17,Mobile,Referral,Chennai,1,0,0,0,0,0,0,5.6
U00095,2026-02-20,Desktop,Social Media,Delhi,1,0,0,0,0,0,0,2.2
U00096,2026-03-15,Mobile,Organic Search,Delhi,1,1,0,0,0,0,0,5.4
U00097,2026-03-31,Mobile,Organic Search,Mumbai,1,0,0,0,0,0,0,2.2
U00098,2026-01-27,Mobile,Direct,Other,1,0,0,0,0,0,0,2.5
U00099,2026-02-06,Mobile,Email,Bengaluru,1,0,0,0,0,0,0,7.5
U00100,2026-02-09,Mobile,Email,Bengaluru,1,1,0,0,0,0,0,20.5
U00101,2026-01-27,Mobile,Paid Search,Mumbai,1,0,0,0,0,0,0,2
U00102,2026-03-06,Desktop,Paid Search,Mumbai,1,1,1,1,1,1,2596.56,3.5
U00103,2026-03-01,Mobile,Direct,Hyderabad,1,1,1,1,1,1,1501.02,14.5
U00104,2026-02-25,Mobile,Referral,Mumbai,1,0,0,0,0,0,0,2
U00105,2026-03-19,Desktop,Paid Search,Bengaluru,1,1,0,0,0,0,0,5.7
U00106,2026-02-21,Mobile,Referral,Delhi,1,0,0,0,0,0,0,1.3
U00107,2026-02-22,Mobile,Referral,Pune,1,1,0,0,0,0,0,5.6
U00108,2026-01-14,Desktop,Paid Search,Mumbai,1,0,0,0,0,0,0,5.3
U00109,2026-02-01,Mobile,Paid Search,Hyderabad,1,0,0,0,0,0,0,12.5
U00110,2026-03-24,Mobile,Organic Search,Mumbai,1,1,1,1,1,1,7442.41,11.8
U00111,2026-03-13,Mobile,Organic Search,Delhi,1,0,0,0,0,0,0,2.2
U00112,2026-02-04,Mobile,Email,Bengaluru,1,1,1,1,0,0,0,3.6
U00113,2026-02-18,Tablet,Paid Search,Chennai,1,1,1,0,0,0,0,0.8
U00114,2026-01-14,Desktop,Referral,Other,1,1,0,0,0,0,0,1.9
U00115,2026-02-28,Desktop,Direct,Bengaluru,1,0,0,0,0,0,0,7.7
U00116,2026-01-05,Desktop,Organic Search,Bengaluru,1,1,1,0,0,0,0,9.6
U00117,2026-02-01,Desktop,Social Media,Bengaluru,1,1,1,0,0,0,0,6.2
